Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-10-22 00:00:00+08:00,104.50434667443928,105.83278918150762,103.61871345000665,105.6556625366211,19000589,0.0,0.0
2014-10-23 00:00:00+08:00,105.6556662245681,106.18704617777567,105.03573027540678,105.92135620117188,14146922,0.0,0.0
2014-10-24 00:00:00+08:00,107.60405339255271,107.60405339255271,105.21285823259588,105.83279418945312,11862551,0.0,0.0
2014-10-27 00:00:00+08:00,105.38998067445671,105.38998067445671,103.35303157285198,104.59291076660156,13808862,0.0,0.0
2014-10-28 00:00:00+08:00,105.4785479545665,106.62986386841253,104.77004134322682,106.36417388916016,13279274,0.0,0.0
2014-10-29 00:00:00+08:00,107.33837202656171,108.04687131853035,106.62986540501204,107.78118133544922,20637824,0.0,0.0
2014-10-30 00:00:00+08:00,108.57824863762889,108.57824863762889,106.54129947991404,107.95830535888672,16391978,0.0,0.0
2014-10-31 00:00:00+08:00,109.3753191203068,109.81812842063721,108.31255920851964,109.46388244628906,19995317,0.0,0.0
2014-11-03 00:00:00+08:00,110.70376672980086,110.70376672980086,109.02107078896884,109.6410140991211,14616679,0.0,0.0
2014-11-04 00:00:00+08:00,109.4638866760656,110.34951264052866,108.48969005261694,108.66681671142578,14339964,0.0,0.0
2014-11-05 00:00:00+08:00,109.46389211691445,110.17239145778427,108.4011321112374,109.8181381225586,13053784,0.0,0.0
2014-11-06 00:00:00+08:00,110.70376168045983,110.70376168045983,109.19819246834227,109.46388244628906,10921966,0.0,0.0
2014-11-07 00:00:00+08:00,108.93250905637483,110.26095169660064,107.60405908656769,109.02107238769531,16769289,0.0,0.0
2014-11-10 00:00:00+08:00,110.70375669720238,112.29788916354337,110.70375669720238,111.32369995117188,23096583,0.0,0.0
2014-11-11 00:00:00+08:00,112.12076023073992,113.80345598472631,111.67795095938169,113.00639343261719,22344919,0.0,0.0
2014-11-12 00:00:00+08:00,113.98059187143996,115.1319151272781,113.00640259992716,114.42340850830078,23820323,0.0,0.0
2014-11-13 00:00:00+08:00,110.70375960802467,115.57472778670012,110.43806963505175,114.68909454345703,57445626,0.0,0.0
2014-11-14 00:00:00+08:00,114.68908579149205,117.08028803619413,114.33483252122801,116.8145980834961,33610764,0.0,0.0
2014-11-17 00:00:00+08:00,118.674427009623,119.4714969119571,113.98058557726124,114.3348388671875,36839261,0.0,0.0
2014-11-18 00:00:00+08:00,115.22047010475524,115.22047010475524,111.14657200002837,111.41226196289062,25737464,0.0,0.0
2014-11-19 00:00:00+08:00,110.70375848057313,112.12076432574996,109.37531595881866,110.17237854003906,23900139,0.0,0.0
2014-11-20 00:00:00+08:00,109.81812347724596,112.38645248553902,109.19818755285702,111.32369995117188,16996286,0.0,0.0
2014-11-21 00:00:00+08:00,111.94364034878181,111.94364034878181,109.81812786553238,109.99525451660156,19427065,0.0,0.0
2014-11-24 00:00:00+08:00,111.7665195386884,112.47502617999208,110.43807691582522,111.1465835571289,27520738,0.0,0.0
2014-11-25 00:00:00+08:00,111.67795877397833,111.67795877397833,110.26094555182006,110.43807220458984,25300094,0.0,0.0
2014-11-26 00:00:00+08:00,111.05800998518495,111.5893899171588,110.08381344323288,111.32369995117188,20243168,0.0,0.0
2014-11-27 00:00:00+08:00,111.32371551652565,111.41227885090429,110.34951883836078,110.7923355102539,12335466,0.0,0.0
2014-11-28 00:00:00+08:00,111.23515146346132,111.41227813107416,109.46389211691445,109.8181381225586,14138489,0.0,0.0
2014-12-01 00:00:00+08:00,107.78118484044339,108.48969148503336,105.301426243541,106.54130554199219,30463687,0.0,0.0
2014-12-02 00:00:00+08:00,106.09848285224108,107.95830535888672,104.94716694987218,105.92135620117188,32214639,0.0,0.0
2014-12-03 00:00:00+08:00,106.00992970021551,106.8955630405535,104.06154368105351,104.2386703491211,33457097,0.0,0.0
2014-12-04 00:00:00+08:00,104.50433851786401,106.18703418337081,104.41577520233312,104.68146514892578,29959330,0.0,0.0
2014-12-05 00:00:00+08:00,105.38997781043436,106.54129364980137,103.79583803804555,105.3014144897461,31304782,0.0,0.0
2014-12-08 00:00:00+08:00,106.71843203261555,106.89555869348001,104.15010277966205,105.03573608398438,24623879,0.0,0.0
2014-12-09 00:00:00+08:00,103.79584080195794,104.32722074023732,102.37883496279359,102.55596160888672,28361886,0.0,0.0
2014-12-10 00:00:00+08:00,101.40465720212467,102.46740986924137,100.07620720625195,102.290283203125,29533958,0.0,0.0
2014-12-11 00:00:00+08:00,101.84745629631202,101.84745629631202,100.07619714284321,100.43045043945312,20770154,0.0,0.0
2014-12-12 00:00:00+08:00,101.67033337581974,102.201713340218,100.34189079440505,100.6961441040039,21158076,0.0,0.0
2014-12-15 00:00:00+08:00,100.07620191684626,100.34189190197809,98.48206933563642,99.10201263427734,18189470,0.0,0.0
2014-12-16 00:00:00+08:00,98.3049330325085,99.10200290968986,95.29378749273711,95.64804077148438,44782436,0.0,0.0
2014-12-17 00:00:00+08:00,96.00229960631091,96.35655290556039,92.5483445977901,93.25685119628906,47964624,0.0,0.0
