date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
14MAR2006,mret,1.1832963497,0.4524557823,1.0535351133,1.3228920852,1.2094851417,0.026188792
15MAR2006,mret,0.9437339347,0.4875219141,0.2888587159,0.3152593885,0.5244490021,-0.419284933
16MAR2006,mret,0.0866731399,0.0493719902,0.3890511117,0.41658181,0.8045624688,0.7178893289
24MAR2006,mret,0.1270460438,0.135468264,0.0962036693,0.2348624655,0.1978619589,0.0708159151
27MAR2006,mret,-0.033621091,-0.400211723,-0.119534802,0.1876314148,0.0952123078,0.1288333983
28MAR2006,mret,-0.532654215,-0.784641183,-0.748029014,-0.496542091,-0.27243071,0.2602235048
29MAR2006,mret,0.9226185853,0.6387015946,0.5780860709,0.8901451811,0.9103875162,-0.012231069
30MAR2006,mret,-0.334872442,-0.075015426,-0.369062237,-0.239589855,-0.11996727,0.2149051725
31MAR2006,mret,-0.318445638,-0.285564254,-0.107022464,-0.354037379,-0.463346158,-0.14490052
03APR2006,mret,0.0076244338,0.2495505169,0.2850555391,0.1088141518,-0.1353785,-0.143002933
04APR2006,mret,0.4072075391,0.3525974258,0.8186268537,0.8462810858,0.5362145191,0.12900698
05APR2006,mret,0.3506638618,-0.009907296,0.4063632016,0.6301817891,1.1641320482,0.8134681864
06APR2006,mret,-0.208163497,-0.206006127,-0.232620621,-0.017610014,-0.23200512,-0.023841623
07APR2006,mret,-1.130281779,-0.953402248,-0.994968749,-1.060850599,-1.095372297,0.0349094818
10APR2006,mret,-0.311783031,-0.1801219,0.1759377091,0.3569816497,0.2505730606,0.5623560911
11APR2006,mret,-0.937209945,-0.750555575,-0.683038204,-0.720468238,-1.055389034,-0.118179089
12APR2006,mret,0.5781473492,0.2965352353,0.003944957,0.1156669847,0.2941217207,-0.284025629
13APR2006,mret,0.155780336,-0.082884674,0.1730327796,0.1231386986,0.0065318688,-0.149248467
17APR2006,mret,-0.516886307,-0.555267289,-0.06702615,0.3292516073,0.1684019055,0.6852882127
18APR2006,mret,1.5555813407,1.5814779034,1.5773712788,1.8810262962,1.8290447126,0.2734633719
19APR2006,mret,0.2025393784,-0.029288827,0.3193215972,0.4845582982,0.5069830943,0.3044437159
20APR2006,mret,0.6988495085,0.3555504048,0.0558080599,-0.033587176,-0.333791712,-1.032641221
21APR2006,mret,-0.144557783,-0.086045944,0.139956105,0.4999728186,0.0314676189,0.176025402
24APR2006,mret,-0.210887229,-0.079725109,-0.11542808,-0.357131309,-0.737274229,-0.526386999
25APR2006,mret,-0.822938364,-0.229544487,-0.495319751,-0.73015012,-0.393468405,0.4294699586
26APR2006,mret,0.0977750458,0.6785135755,0.090627743,-0.024531527,0.1124313879,0.0146563421
27APR2006,mret,-0.500561665,0.3731107101,0.489494624,0.0610279579,-0.324788169,0.1757734959
28APR2006,mret,0.5804763848,0.3362820472,0.7242847222,0.0756744027,-0.051029153,-0.631505538
01MAY2006,mret,-0.167846771,-0.673507386,-0.298318015,-0.151298302,0.7051321574,0.8729789282
02MAY2006,mret,0.4965519045,0.4608030304,0.5056103084,0.9835917917,0.9791883771,0.4826364725
03MAY2006,mret,-0.268340804,-0.181353596,-0.178414646,-0.452377676,-0.597328684,-0.32898788
04MAY2006,mret,0.7253465924,0.3272070331,0.2290617525,0.1146057473,0.0065555818,-0.718791011
05MAY2006,mret,0.9411929278,1.0102297203,1.2398281885,1.3912898067,0.9561194945,0.0149265667
08MAY2006,mret,-0.129365663,0.008750817,-0.150649275,-0.109822211,0.07352376,0.2028894233
09MAY2006,mret,0.0818111204,0.0366747488,-0.017446073,0.0571467806,0.4081221454,0.326311025
10MAY2006,mret,0.0693729955,-0.271399523,0.0320078852,0.0638994525,0.1429010224,0.0735280269
11MAY2006,mret,-1.491507382,-0.849715065,-1.177277194,-1.197739554,-1.314083644,0.1774237382
12MAY2006,mret,-0.778150958,-0.96008385,-0.941552526,-1.590731954,-2.074203555,-1.296052596
15MAY2006,mret,-0.147793415,0.7185667197,0.0950959477,-0.3561131,-0.648367108,-0.500573693
16MAY2006,mret,0.0117031302,0.10647947,-0.083711611,-0.256963693,0.1510289964,0.1393258662
17MAY2006,mret,-1.616400145,-1.495290737,-1.425636899,-2.067488866,-2.081224777,-0.464824632
18MAY2006,mret,-1.22454499,-0.739236698,-0.517230135,-0.644066791,-0.449654255,0.7748907358
19MAY2006,mret,0.125326396,0.2049501848,0.3981746531,0.7891111995,0.2389648365,0.1136384406
22MAY2006,mret,-0.772865717,-0.232379433,-0.209809488,-0.676850013,-1.029790112,-0.256924396
23MAY2006,mret,-0.389026112,-0.22511195,-0.670687829,-0.496571732,0.2690584956,0.6580846076
24MAY2006,mret,-0.324522789,0.3174665977,-0.147293462,-0.194864801,-0.720969805,-0.396447016
25MAY2006,mret,1.5183915516,0.7425701016,1.0102800974,1.6250816113,2.1073644985,0.588972947
26MAY2006,mret,0.7525836065,0.5866115492,0.654871141,0.7576637967,0.6291244321,-0.123459174
30MAY2006,mret,-1.486421948,-1.314951953,-1.483792833,-1.695262558,-1.848378889,-0.361956941
31MAY2006,mret,1.3209408473,0.7074894599,0.9610395154,1.2670015192,1.577930954,0.2569901068
01JUN2006,mret,1.4068005057,1.1787611646,0.9524208284,1.1159915588,1.1945463176,-0.212254188
02JUN2006,mret,0.0327660029,0.2621899458,0.2722390777,0.4062714196,0.0991655891,0.0663995862
05JUN2006,mret,-1.892883856,-1.462729327,-1.832325722,-2.322824922,-2.097691829,-0.204807973
06JUN2006,mret,-0.378226989,0.0014900695,-0.365295354,-0.61097372,-0.155852073,0.2223749157
07JUN2006,mret,-0.165968626,-0.205828404,-0.66818321,-1.108995024,-1.170806668,-1.004838042
08JUN2006,mret,0.083486339,0.0130879001,0.1238642378,0.1998438925,0.1063126205,0.0228262815
09JUN2006,mret,-0.479188624,-0.330627159,-0.416730748,-0.415620375,-0.432531954,0.0466566707
12JUN2006,mret,-1.385510266,-0.961962801,-1.397136198,-1.664568293,-1.771474805,-0.385964539
13JUN2006,mret,-0.736513062,-1.068973394,-1.447464406,-1.642939092,-1.112139777,-0.375626715
14JUN2006,mret,0.4020128016,0.1262967386,0.4817163962,0.9358638575,0.9635359313,0.5615231298
