"","year","month","observation_date","GDPC1","GDPchange_annual","INDPRO","INDPROchange_annual","T10Y3M","UNRATE","UNRATEchange_annual","CPIAUCSL","CPIchange_annual","vix","HedgingPressure"
"13","1983","01",1983-01-01,6896.561,0.0143145557741586,47.9518,-0.022106297847695,2.44,10.4,1.8,97.9,0.0370762711864407,NA,NA
"14","1983","02",1983-02-01,6896.561,0.0143145557741586,47.6648,-0.0472927730662451,2.06,10.4,1.5,98,0.0348468848996832,NA,NA
"15","1983","03",1983-03-01,6896.561,0.0143145557741586,48.054,-0.0328774181083409,1.66,10.3,1.3,98.1,0.0359028511087644,NA,NA
"16","1983","04",1983-04-01,7053.5,0.0326853288407702,48.6536,-0.0116400482665876,1.89,10.2,0.899999999999999,98.8,0.04,NA,NA
"17","1983","05",1983-05-01,7053.5,0.0326853288407702,48.9668,0.001521708895452,1.84,10.1,0.699999999999999,99.2,0.0344108446298227,NA,NA
"18","1983","06",1983-06-01,7053.5,0.0326853288407702,49.251,0.0100945880538487,1.81,10.1,0.5,99.4,0.0247422680412372,NA,NA
"19","1983","07",1983-07-01,7194.504,0.0573716968451115,49.9861,0.0287597733629424,2.17,9.4,-0.4,99.8,0.0235897435897436,NA,NA
"20","1983","08",1983-08-01,7194.504,0.0573716968451115,50.5862,0.0504171667545713,2.34,9.5,-0.300000000000001,100.1,0.0245649948822926,NA,NA
"21","1983","09",1983-09-01,7194.504,0.0573716968451115,51.3227,0.0688577236110996,2.4,9.2,-0.9,100.4,0.0276356192425794,NA,NA
"22","1983","10",1983-10-01,7344.597,0.0789997498111096,51.714,0.0870908746925648,2.91,8.8,-1.6,100.8,0.0275229357798165,NA,NA
"23","1983","11",1983-11-01,7344.597,0.0789997498111096,51.9425,0.095290309656605,2.39,8.5,-2.3,101.1,0.0316326530612244,NA,NA
"24","1983","12",1983-12-01,7344.597,0.0789997498111096,52.1897,0.108739526504529,2.49,8.3,-2.5,101.4,0.037871033776868,NA,NA
"25","1984","01",1984-01-01,7488.167,0.0857827546221951,53.2371,0.110221097018256,2.41,8,-2.4,102.1,0.0429009193054136,NA,NA
"26","1984","02",1984-02-01,7488.167,0.0857827546221951,53.4741,0.121878199425992,2.55,7.8,-2.6,102.6,0.046938775510204,NA,NA
"27","1984","03",1984-03-01,7488.167,0.0857827546221951,53.7313,0.1181441711408,2.44,7.8,-2.5,102.9,0.0489296636085628,NA,NA
"28","1984","04",1984-04-01,7617.547,0.0799669667540936,54.0454,0.110820165414276,2.72,7.7,-2.5,103.3,0.0455465587044534,NA,NA
"29","1984","05",1984-05-01,7617.547,0.0799669667540936,54.3263,0.109451710138298,3.78,7.4,-2.7,103.5,0.0433467741935484,NA,NA
"30","1984","06",1984-06-01,7617.547,0.0799669667540936,54.5095,0.106769405697346,3.53,7.2,-2.9,103.7,0.0432595573440644,NA,NA
"31","1984","07",1984-07-01,7690.985,0.0690083708341812,54.6658,0.0936200263673301,2.08,7.5,-1.9,104.1,0.0430861723446894,NA,NA
"32","1984","08",1984-08-01,7690.985,0.0690083708341812,54.7307,0.0819294590224212,1.73,7.5,-2,104.4,0.0429570429570431,NA,NA
"33","1984","09",1984-09-01,7690.985,0.0690083708341812,54.5783,0.0634339191040222,1.84,7.3,-1.9,104.7,0.0428286852589641,NA,NA
"34","1984","10",1984-10-01,7754.117,0.0557579946183569,54.5549,0.05493483389411,2.44,7.4,-1.4,105.1,0.0426587301587301,NA,NA
"35","1984","11",1984-11-01,7754.117,0.0557579946183569,54.74,0.0538576310343168,2.84,7.2,-1.3,105.3,0.0415430267062315,NA,NA
"36","1984","12",1984-12-01,7754.117,0.0557579946183569,54.7733,0.0495040209083401,3.43,7.3,-1,105.5,0.0404339250493096,NA,NA
"37","1985","01",1985-01-01,7829.26,0.0455509338934348,54.7203,0.0278602703753586,2.84,7.3,-0.7,105.7,0.0352595494613125,NA,NA
"38","1985","02",1985-02-01,7829.26,0.0455509338934348,54.91,0.0268522518378055,3.1,7.2,-0.6,106.3,0.0360623781676414,NA,NA
"39","1985","03",1985-03-01,7829.26,0.0455509338934348,54.9841,0.0233160187823485,3.18,7.2,-0.6,106.8,0.0379008746355684,NA,NA
"40","1985","04",1985-04-01,7898.194,0.0368421750466391,54.8853,0.0155406380561528,3.29,7.3,-0.4,107,0.0358180058083253,NA,NA
"41","1985","05",1985-05-01,7898.194,0.0368421750466391,54.952,0.0115174418283593,2.9,7.2,-0.2,107.2,0.0357487922705314,NA,NA
"42","1985","06",1985-06-01,7898.194,0.0368421750466391,54.9269,0.00765738082352619,3.2,7.4,0.2,107.5,0.0366441658630665,NA,NA
"43","1985","07",1985-07-01,8018.809,0.0426244492740527,54.642,-0.00043537275590944,3.05,7.4,-0.0999999999999996,107.7,0.0345821325648416,NA,NA
"44","1985","08",1985-08-01,8018.809,0.0426244492740527,54.8269,0.00175769723391082,2.9,7.1,-0.4,107.9,0.0335249042145594,NA,NA
"45","1985","09",1985-09-01,8018.809,0.0426244492740527,55.0447,0.0085455208388682,3.04,7.1,-0.2,108.1,0.0324737344794651,NA,NA
"46","1985","10",1985-10-01,8078.415,0.0418226859357422,54.8418,0.00525892266322541,2.59,7.1,-0.300000000000001,108.5,0.0323501427212179,NA,NA
"47","1985","11",1985-11-01,8078.415,0.0418226859357422,55.0381,0.00544574351479719,2.2,7,-0.2,109,0.0351377018043685,NA,NA
"48","1985","12",1985-12-01,8078.415,0.0418226859357422,55.5958,0.0150164404919915,1.72,7,-0.3,109.5,0.037914691943128,NA,NA
"49","1986","01",1986-01-01,8153.829,0.0414558974922278,55.8793,0.0211804394347253,1.89,6.7,-0.6,109.9,0.0397350993377484,NA,0.10571462781675
"50","1986","02",1986-02-01,8153.829,0.0414558974922278,55.4963,0.010677472227281,0.89,7.2,0,109.7,0.0319849482596426,NA,-0.0175446993589982
"51","1986","03",1986-03-01,8153.829,0.0414558974922278,55.097,0.00205332086912404,0.86,7.2,0,109.1,0.0215355805243445,NA,-0.0500473331215651
"52","1986","04",1986-04-01,8190.552,0.0370158038660483,55.16,0.00500498311934153,1.1,7.1,-0.2,108.7,0.0158878504672897,NA,-0.0570588836589095
"53","1986","05",1986-05-01,8190.552,0.0370158038660483,55.2556,0.00552482166254191,1.56,7.2,0,109,0.0167910447761194,NA,-0.049263343445081
"54","1986","06",1986-06-01,8190.552,0.0370158038660483,55.0449,0.00214830984453874,1.22,7.2,-0.2,109.4,0.0176744186046512,NA,-0.037515543588076
"55","1986","07",1986-07-01,8268.935,0.0311924127385999,55.3725,0.0133688371582299,1.38,7,-0.4,109.5,0.0167130919220055,NA,-0.0861173142643159
"56","1986","08",1986-08-01,8268.935,0.0311924127385999,55.2845,0.00834626798159296,1.64,6.9,-0.199999999999999,109.6,0.015755329008341,NA,-0.17077245357238
"57","1986","09",1986-09-01,8268.935,0.0311924127385999,55.4459,0.00728862179283388,2.11,7,-0.0999999999999996,110,0.0175763182238668,NA,-0.126052225723869
"58","1986","10",1986-10-01,8313.338,0.0290803332089277,55.6766,0.0152219657268726,2,7,-0.0999999999999996,110.2,0.015668202764977,NA,-0.118028280748236
"59","1986","11",1986-11-01,8313.338,0.0290803332089277,55.8828,0.0153475501516223,1.61,6.9,-0.0999999999999996,110.4,0.0128440366972478,NA,-0.11020015099659
"60","1986","12",1986-12-01,8313.338,0.0290803332089277,56.4269,0.0149489709654328,1.4,6.6,-0.4,110.8,0.0118721461187214,NA,-0.0861920602167167
"61","1987","01",1987-01-01,8375.274,0.0271584061917413,56.2123,0.00595927293291073,1.42,6.6,-0.100000000000001,111.4,0.013648771610555,NA,0.0575451923764331
"62","1987","02",1987-02-01,8375.274,0.0271584061917413,56.9589,0.026354910147163,1.59,6.6,-0.600000000000001,111.8,0.0191431175934366,NA,0.0971717135484507
